dataset,model,seed,mode,n_cert,n_cert_minority,train_ratio,n_features,clf_fit_err,clf_test_err,optimism,method,fit,Accuracy,G-Mean,F1,err_0,err_1,U_0,U_1,delta_0,delta_1,covered_0,covered_1
Cervical Cancer,GradientBoosting,3,split,150,9,14.851851851851851,32,0.1111111111111111,0.4642857142857143,0.3531746031746032,CP Minimax,True,0.625,0.5463235193135126,0.7123287671232876,0.6785714285714286,0.07142857142857142,0.8508415183164997,0.801076773664003,0.04797623811905954,0.19140445222611308,True,True
Cervical Cancer,GradientBoosting,3,split,150,9,14.851851851851851,32,0.1111111111111111,0.4642857142857143,0.3531746031746032,DKW Sum,True,0.5,0.0,0.0,0.0,1.0,0.12064954386761441,1.0,0.016491995997999002,0.0005,True,True
Cervical Cancer,GradientBoosting,3,split,150,9,14.851851851851851,32,0.1111111111111111,0.4642857142857143,0.3531746031746032,DKW Minimax,True,0.625,0.5463235193135126,0.7123287671232876,0.6785714285714286,0.07142857142857142,0.8274741275715788,0.7161187678485788,0.10244897448724363,0.264867683841921,True,True
Cervical Cancer,GradientBoosting,4,naive,428,27,14.851851851851851,32,0.14814814814814814,0.4642857142857143,0.31613756613756616,Baseline,True,0.5357142857142857,0.26726124191242434,0.13333333333333333,0.0,0.9285714285714286,,,,,,
Cervical Cancer,GradientBoosting,4,naive,428,27,14.851851851851851,32,0.14814814814814814,0.4642857142857143,0.31613756613756616,Threshold,True,0.5535714285714286,0.40720550896397784,0.2857142857142857,0.07142857142857142,0.8214285714285714,,,,,,
Cervical Cancer,GradientBoosting,4,naive,428,27,14.851851851851851,32,0.14814814814814814,0.4642857142857143,0.31613756613756616,SMOTE,True,0.5,0.25753937681885636,0.125,0.07142857142857142,0.9285714285714286,,,,,,
Cervical Cancer,GradientBoosting,4,naive,428,27,14.851851851851851,32,0.14814814814814814,0.4642857142857143,0.31613756613756616,Balanced Weights,False,,,,,,,,,,,
Cervical Cancer,GradientBoosting,4,naive,428,27,14.851851851851851,32,0.14814814814814814,0.4642857142857143,0.31613756613756616,Slacks Deltas,True,0.625,0.5463235193135126,0.46153846153846156,0.07142857142857142,0.6785714285714286,,,,,,
Cervical Cancer,GradientBoosting,4,naive,428,27,14.851851851851851,32,0.14814814814814814,0.4642857142857143,0.31613756613756616,Min Deltas,True,0.5535714285714286,0.40720550896397784,0.2857142857142857,0.07142857142857142,0.8214285714285714,,,,,,
Cervical Cancer,GradientBoosting,4,naive,428,27,14.851851851851851,32,0.14814814814814814,0.4642857142857143,0.31613756613756616,F Deltas,True,0.5892857142857143,0.48181205582971576,0.3783783783783784,0.07142857142857142,0.75,,,,,,
Cervical Cancer,GradientBoosting,4,naive,428,27,14.851851851851851,32,0.14814814814814814,0.4642857142857143,0.31613756613756616,CP Sum,True,0.5535714285714286,0.40720550896397784,0.2857142857142857,0.07142857142857142,0.8214285714285714,0.05586813410762775,0.2833831316336505,0.002998749374687344,0.0404799899949975,False,False
Cervical Cancer,GradientBoosting,4,naive,428,27,14.851851851851851,32,0.14814814814814814,0.4642857142857143,0.31613756613756616,CP Minimax,True,0.5892857142857143,0.5416339602893965,0.46511627906976744,0.17857142857142858,0.6428571428571429,0.23193732339272052,0.21891486438860197,0.006496998499249626,0.03548249124562282,True,False
Cervical Cancer,GradientBoosting,4,naive,428,27,14.851851851851851,32,0.14814814814814814,0.4642857142857143,0.31613756613756616,DKW Sum,True,0.5535714285714286,0.40720550896397784,0.2857142857142857,0.07142857142857142,0.8214285714285714,0.08911130255999603,0.2714262743779592,0.00899574787393697,0.051474487243621816,True,False
Cervical Cancer,GradientBoosting,4,naive,428,27,14.851851851851851,32,0.14814814814814814,0.4642857142857143,0.31613756613756616,DKW Minimax,True,0.5714285714285714,0.5297284633639759,0.45454545454545453,0.21428571428571427,0.6428571428571429,0.2395809441860102,0.2363468202165062,0.010994747373686845,0.04897573786893447,True,False
Cervical Cancer,GradientBoosting,4,split,150,9,14.851851851851851,32,0.1388888888888889,0.4642857142857143,0.3253968253968254,Baseline,True,0.5357142857142857,0.26726124191242434,0.13333333333333333,0.0,0.9285714285714286,,,,,,
Cervical Cancer,GradientBoosting,4,split,150,9,14.851851851851851,32,0.1388888888888889,0.4642857142857143,0.3253968253968254,Threshold,True,0.5357142857142857,0.32142857142857145,0.1875,0.03571428571428571,0.8928571428571429,,,,,,
Cervical Cancer,GradientBoosting,4,split,150,9,14.851851851851851,32,0.1388888888888889,0.4642857142857143,0.3253968253968254,SMOTE,True,0.5,0.25753937681885636,0.125,0.07142857142857142,0.9285714285714286,,,,,,
Cervical Cancer,GradientBoosting,4,split,150,9,14.851851851851851,32,0.1388888888888889,0.4642857142857143,0.3253968253968254,Balanced Weights,False,,,,,,,,,,,
Cervical Cancer,GradientBoosting,4,split,150,9,14.851851851851851,32,0.1388888888888889,0.4642857142857143,0.3253968253968254,Slacks Deltas,False,,,,,,,,,,,
Cervical Cancer,GradientBoosting,4,split,150,9,14.851851851851851,32,0.1388888888888889,0.4642857142857143,0.3253968253968254,Min Deltas,False,,,,,,,,,,,
