dataset,model,seed,mode,method,optimism,n_cert,n_cert_minority,test_per_class,cls,covered,U,delta,nominal
Abalone Gender,GradientBoosting,3,naive,DKW Sum,0.2361876550013777,840,76,764,0,0.0,0.0945151370338475,0.0059972486243121,0.9940027513756879
Abalone Gender,GradientBoosting,3,naive,DKW Minimax,0.2361876550013777,840,76,764,0,0.0,0.1359455555253661,0.0064969984992496,0.9935030015007504
Abalone Gender,GradientBoosting,3,split,CP Sum,0.3489021262955443,294,27,764,0,1.0,0.0412465989324497,0.0034984992496248,0.9965015007503752
Abalone Gender,GradientBoosting,3,split,CP Minimax,0.3489021262955443,294,27,764,0,1.0,0.5936123027960156,0.0174914957478739,0.9825085042521261
Abalone Gender,GradientBoosting,3,split,DKW Sum,0.3489021262955443,294,27,764,0,1.0,0.558775417755362,0.0249877438719359,0.9750122561280641
Abalone Gender,GradientBoosting,3,split,DKW Minimax,0.3489021262955443,294,27,764,0,1.0,0.5515120474045774,0.0244879939969985,0.9755120060030015
Abalone Gender,GradientBoosting,4,naive,CP Sum,0.1822471755304491,840,76,764,0,0.0,0.0822044257161626,0.0024989994997498,0.9975010005002501
Abalone Gender,GradientBoosting,4,naive,CP Minimax,0.1822471755304491,840,76,764,0,0.0,0.0909304260621411,0.0024989994997498,0.9975010005002501
Abalone Gender,GradientBoosting,4,naive,DKW Sum,0.1822471755304491,840,76,764,0,0.0,0.09798744034212,0.0064969984992496,0.9935030015007504
Abalone Gender,GradientBoosting,4,naive,DKW Minimax,0.1822471755304491,840,76,764,0,0.0,0.1320188539546855,0.0064969984992496,0.9935030015007504
Abalone Gender,GradientBoosting,4,split,CP Sum,0.3640746874666096,294,27,764,0,1.0,0.0412465989324497,0.0034984992496248,0.9965015007503752
Abalone Gender,GradientBoosting,4,split,CP Minimax,0.3640746874666096,294,27,764,0,1.0,0.6985188254768016,0.0219892446223111,0.9780107553776889
Abalone Gender,GradientBoosting,4,split,DKW Sum,0.3640746874666096,294,27,764,0,1.0,0.0919038908480928,0.0109947473736868,0.9890052526263132
Abalone Gender,GradientBoosting,4,split,DKW Minimax,0.3640746874666096,294,27,764,0,1.0,0.6422722371456652,0.031484492246123,0.968515507753877
Abalone Gender,GradientBoosting,5,naive,CP Sum,0.1907894736842105,840,76,764,0,0.0,0.1140495610337486,0.0029987493746873,0.9970012506253128
Abalone Gender,GradientBoosting,5,naive,CP Minimax,0.1907894736842105,840,76,764,0,0.0,0.1629975258868697,0.0034984992496248,0.9965015007503752
Abalone Gender,GradientBoosting,5,naive,DKW Sum,0.1907894736842105,840,76,764,0,0.0,0.0945151370338475,0.0059972486243121,0.9940027513756879
Abalone Gender,GradientBoosting,5,naive,DKW Minimax,0.1907894736842105,840,76,764,0,0.0,0.172170831727822,0.006996748374187,0.993003251625813
Abalone Gender,GradientBoosting,5,split,CP Sum,0.3334624425686505,294,27,764,0,1.0,0.0412465989324497,0.0034984992496248,0.9965015007503752
Abalone Gender,GradientBoosting,5,split,CP Minimax,0.3334624425686505,294,27,764,0,1.0,0.6572432537886295,0.0199902451225612,0.9800097548774388
Abalone Gender,GradientBoosting,5,split,DKW Sum,0.3334624425686505,294,27,764,0,1.0,0.0919038908480928,0.0109947473736868,0.9890052526263132
Abalone Gender,GradientBoosting,5,split,DKW Minimax,0.3334624425686505,294,27,764,0,1.0,0.6024326686342103,0.0279862431215607,0.9720137568784393
Abalone Gender,GradientBoosting,6,naive,CP Sum,0.1986773215761917,840,76,764,0,0.0,0.1024020338756083,0.0029987493746873,0.9970012506253128
Abalone Gender,GradientBoosting,6,naive,CP Minimax,0.1986773215761917,840,76,764,0,0.0,0.1347027731077524,0.0034984992496248,0.9965015007503752
Abalone Gender,GradientBoosting,6,naive,DKW Sum,0.1986773215761917,840,76,764,0,0.0,0.0966785398185598,0.0064969984992496,0.9935030015007504
Abalone Gender,GradientBoosting,6,naive,DKW Minimax,0.1986773215761917,840,76,764,0,0.0,0.1529612623316488,0.0064969984992496,0.9935030015007504
Abalone Gender,GradientBoosting,6,split,CP Sum,0.3897184528261566,294,27,764,0,1.0,0.0412465989324497,0.0034984992496248,0.9965015007503752
Abalone Gender,GradientBoosting,6,split,CP Minimax,0.3897184528261566,294,27,764,0,1.0,0.7052672054665603,0.0224889944972486,0.9775110055027514
Abalone Gender,GradientBoosting,6,split,DKW Sum,0.3897184528261566,294,27,764,0,1.0,0.0919038908480928,0.0109947473736868,0.9890052526263132
Abalone Gender,GradientBoosting,6,split,DKW Minimax,0.3897184528261566,294,27,764,0,1.0,0.6567104166176192,0.0329837418709354,0.9670162581290646
Abalone Gender,GradientBoosting,7,naive,CP Sum,0.18817167263709,840,76,764,0,0.0,0.0292553556827021,0.0014994997498749,0.998500500250125
Abalone Gender,GradientBoosting,7,naive,CP Minimax,0.18817167263709,840,76,764,0,0.0,0.1074228510486968,0.0029987493746873,0.9970012506253128
Abalone Gender,GradientBoosting,7,naive,DKW Sum,0.18817167263709,840,76,764,0,1.0,0.0631015244684025,0.0059972486243121,0.9940027513756879
Abalone Gender,GradientBoosting,7,naive,DKW Minimax,0.18817167263709,840,76,764,0,0.0,0.1643174285864608,0.006996748374187,0.993003251625813
Abalone Gender,GradientBoosting,7,split,CP Sum,0.3475932257719842,294,27,764,0,1.0,0.0412465989324497,0.0034984992496248,0.9965015007503752
Abalone Gender,GradientBoosting,7,split,CP Minimax,0.3475932257719842,294,27,764,0,1.0,0.6847979363143315,0.0214894947473736,0.9785105052526264
Abalone Gender,GradientBoosting,7,split,DKW Sum,0.3475932257719842,294,27,764,0,1.0,0.0919038908480928,0.0109947473736868,0.9890052526263132
Abalone Gender,GradientBoosting,7,split,DKW Minimax,0.3475932257719842,294,27,764,0,1.0,0.65314374297092,0.032483991995998,0.967516008004002
